Title,Address,City,Face,Posted,Price,Bedroom,Bathroom,Floors,Parking,House Age,Amenities Count,Build Area (Aana),Price per Bedroom
"Flat System House On Sale At Budhanikantha : House For Sale In Budhanilkantha, Kathmandu","Budhanikantha, Budhanilkantha, Kathmandu",Kathmandu,West,11 hours ago,90000000,6,3,2.0,10,0.0,16,288.0,15000000.0
"21 Aana Beautiful House : House For Sale In Budhanilkantha, Kathmandu","Pasikot, Budhanilkantha, Kathmandu",Kathmandu,East,12 hours ago,80000000,5,3,2.0,9,0.0,15,14.0,16000000.0
"Beautiful To Floor House : House For Sale In Dhapasi, Kathmandu","Dhapasi, Dhapasi, Kathmandu",Kathmandu,East,2 days ago,70000000,5,3,2.0,12,0.0,16,161.0,14000000.0
"Modern Architecture Bungalow House : House For Sale In Baluwatar, Kathmandu","baluwatar, Baluwatar, Kathmandu",Kathmandu,West,1 day ago,130000000,6,4,3.0,9,8.0,16,7.0,21666666.666666668
"Modern Bungalow House : House For Sale In Golfutar, Kathmandu","Golfutar, Golfutar, Kathmandu",Kathmandu,East,2 days ago,100000000,6,3,2.0,10,0.0,16,14.0,16666666.666666666
"Beautiful Bungalow House : House For Sale In Banasthali, Kathmandu","Banasthali, Banasthali, Kathmandu",Kathmandu,East,3 days ago,100000000,5,6,3.0,9,0.0,16,8.0,20000000.0
"House For Sale @ Dadathok Lubhu Lalitpur : House For Sale In Lubhu, Lalitpur","Dadathok, Lubhu, Lalitpur",Lalitpur,South East,3 days ago,11000000,3,4,3.0,1,6.0,2,4.0,3666666.6666666665
"Modern House : House For Sale In Budhanilkantha, Kathmandu","Hepali, Budhanilkantha, Kathmandu",Kathmandu,East,3 days ago,50000000,5,4,2.0,9,0.0,16,6.0,10000000.0
"Flat System House : House For Sale In Baluwatar, Kathmandu","baluwatar, Baluwatar, Kathmandu",Kathmandu,North,4 days ago,100000000,10,8,3.5,5,8.0,16,9.0,10000000.0
"Residential House Sale : House For Sale In Sukedhara, Kathmandu","Nearby Nilo Pool, Sukedhara, Kathmandu",Kathmandu,South East,1 month ago,32500000,6,4,2.5,1,0.0,13,4.0,5416666.666666667
"Beautiful House For Sale : House For Sale In Lekhnath, Pokhara","4, Lekhnath, Pokhara",Pokhara,South West,3 weeks ago,32000000,4,5,3.0,3,0.0,2,4.0,8000000.0
"House Sale In Budhanilkantha : House For Sale In Chapali, Kathmandu","Budhanilkantha, Chapali, Kathmandu",Kathmandu,North West,1 month ago,39900000,5,4,3.0,1,0.0,3,4.0,7980000.0
"Budhanilkantha Mandir 1 Floor Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,South,1 month ago,15000000,2,2,1.0,1,0.0,1,4.0,7500000.0
"House For Sale , Hepali Height : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,South East,1 month ago,52500000,5,5,3.0,3,0.0,9,4.0,10500000.0
"Tokha Grandy Height Home : House For Sale In Budhanilkantha, Kathmandu","Na, Budhanilkantha, Kathmandu",Kathmandu,East,1 month ago,26500000,6,6,3.0,1,0.0,1,4.0,4416666.666666667
"Sitapaila Modern Semi Bungalow : House For Sale In Sitapaila, Kathmandu","NA, Sitapaila, Kathmandu",Kathmandu,East,1 month ago,25500000,6,6,3.0,1,0.0,1,4.0,4250000.0
"2.5 Storey : House For Sale In Narephate, Kathmandu","Nearby CCRC College, Narephate, Kathmandu",Kathmandu,East,2 months ago,33000000,6,4,2.5,1,0.0,12,4.0,5500000.0
"2.5 Storey House On Sale At Daura Dipo , Checkpost : House For Sale In Thankot, Kathmandu","Daura Dipo, Thankot, Kathmandu",Kathmandu,South,1 month ago,18500000,4,4,3.0,3,0.0,1,4.0,4625000.0
"House For Sale At Kalanki : House For Sale In Kalanki, Kathmandu","khasibazaar, Kalanki, Kathmandu",Kathmandu,East,1 month ago,62000000,7,4,3.0,3,0.0,0,4.0,8857142.857142856
"House Sale In Lolang Height : House For Sale In Kavresthali, Kathmandu","Lonag height, Kavresthali, Kathmandu",Kathmandu,North,1 month ago,10500000,0,0,3.0,0,0.0,0,4.0,10500000.0
"House For Sale In Sipadol, Bhaktapur","Sipadol, Sipadol, Bhaktapur",Bhaktapur,East,1 month ago,20500000,7,3,3.0,1,0.0,13,4.0,2928571.4285714286
